timestamps,TP9,AF7,AF8,TP10,Right AUX
1688548449.032,-28.809,4.883,-13.672,-38.086,0.000
1688548449.036,-30.762,4.395,-10.254,-37.598,0.000
1688548449.040,-22.949,14.648,-11.230,-28.320,0.000
1688548449.044,-8.301,18.066,-18.066,-8.301,0.000
1688548449.048,-11.230,21.973,-8.301,-5.371,0.000
1688548449.052,-22.949,23.438,0.488,-26.367,0.000
1688548449.056,-27.832,15.625,-9.766,-40.039,0.000
1688548449.060,-23.926,10.742,-10.742,-24.414,0.000
1688548449.064,-23.926,14.648,-1.465,-25.391,0.000
1688548449.067,-20.508,22.461,-3.906,-30.762,0.000
1688548449.071,-17.578,28.320,-6.836,-26.855,0.000
1688548449.075,-20.508,32.715,-8.789,-31.250,0.000
